Cinéma,Adresse du cinéma,Salle,CNC,Capacité,Équipement,Format de projection,Nom contact,Email,Téléphone
Circuit Pontvallain - René Tarrot,72510 Pontvallain - Téléphone: 02 41 25 38 64,1,320971,100,35mmNumérique,Numérique 2D,Joelle Hanot,"palace.chateaugontier@gmail.com, Palace.chateaugontier.compta@gmail.com",
Saint-Joseph,"14, rue Notre Dame - 44210 Sainte-Marie-sur-Mer",1,321135,185,3D35mmNumérique,Numérique 2D,Nadia Barteau,sudcinenadia@orange.fr,
Train Cinéma (Le),"1, rue Louis Aragon - BP 47 - 26800 Portes-lès-Valence",1,321594,117,35mmNumérique,Numérique 2D,Hervé GALLIANO,traincine@train-theatre.fr,
Gen'Eric (Le),Rue de l'Océan - 44810 Héric,1,195211,243,Numérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Gen'Eric (Le),Rue de l'Océan - 44810 Héric,2,195212,150,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Gen'Eric (Le),Rue de l'Océan - 44810 Héric,3,195213,228,Numérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Echiquier (L'),La Fournière - 85708 Pouzauges,1,323493,154,3D35mmNumérique,Numérique 2D,Nadia Barteau,sudcinenadia@orange.fr,
Parc (Le),rue du Grand Couloir - 73710 Pralognan-la-Vanoise,1,324021,150,3D35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Louis Malle,place Dutours - 46220 Prayssac,1,324302,260,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Louis Malle,place Dutours - 46220 Prayssac,2,,,Numérique,,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Atlantique (L'),Grande rue - 44770 Préfailles,1,324731,268,35mmNumérique,Numérique 2D,Nadia Barteau,sudcinenadia@orange.fr,
Vivarais (Le),"1 bis, cours du Temple - 07000 Privas",1,326085,205,3D35mmNumérique,Numérique 2D,Patrick DALLET,,
Vivarais (Le),"1 bis, cours du Temple - 07000 Privas",2,326084,91,35mmNumérique,Numérique 2D,Patrick DALLET,,
Vivarais (Le),"1 bis, cours du Temple - 07000 Privas",3,326086,54,35mmNumérique,Numérique 2D,Patrick DALLET,,
MK2 Gambetta,"6, rue Belgrand - 75020 Paris",1,005691,496,Numérique,Numérique 2D,Bertrand Roger,bertrand.roger@mk2.com,
MK2 Gambetta,"6, rue Belgrand - 75020 Paris",2,005693,214,3DNumérique,Numérique 2D,Bertrand Roger,bertrand.roger@mk2.com,
MK2 Gambetta,"6, rue Belgrand - 75020 Paris",3,005694,112,3DNumérique,Numérique 2D,Bertrand Roger,bertrand.roger@mk2.com,
MK2 Gambetta,"6, rue Belgrand - 75020 Paris",4,005704,190,3DNumérique,Numérique 2D,Bertrand Roger,bertrand.roger@mk2.com,
MK2 Gambetta,"6, rue Belgrand - 75020 Paris",5,005705,78,3DNumérique,Numérique 2D,Bertrand Roger,bertrand.roger@mk2.com,
MK2 Gambetta,"6, rue Belgrand - 75020 Paris",6,005706,50,3DNumérique,Numérique 2D,Bertrand Roger,bertrand.roger@mk2.com,
Rochonen (Le),"14, Rue Rochonen - 22800 Quintin",1,330431,200,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Halle (La),Promenade des Lices - 81800 Rabastens,1,330574,99,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Autan (L'),place Jean Jaurès - 31520 Ramonville-Saint-Agne,1,331401,201,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Théâtre Municipal,Rue Jules Ferry - 88110 Raon-l'Etape,1,331964,403,35mmNumérique,Numérique 2D,Franck Mazzacavallo,"theatre.raon@wanadoo.fr, fmprog@orange.fr",
Castine (La),"12, rue du Général Koenig - 67110 Reichshoffen",1,333683,341,3D35mmNumérique,Numérique 2D,Clément REGNACQ,programmation@lerecit.fr,
Tournée Cinébus,141-187 Place Claudius Luiset - 74330 Sillingy,242040,,,Numérique,,Xavier Trambouze,cinebus@cinebus.fr,
Tournée Cinébus,141-187 Place Claudius Luiset - 74330 Sillingy,9731215713,,,Numérique,,Xavier Trambouze,cinebus@cinebus.fr,
Ciné TNB,"1, rue Saint-Helier - CS 54007 - 35040 Rennes",1,335055,403,Numérique,"Argentique (16, 35, 70mm...)",,Stéphanie Jaunay,s.jaunay@theatre-national-bretagne.fr
Ciné TNB,"1, rue Saint-Helier - CS 54007 - 35040 Rennes",2,335061,92,35mmNumérique,"Argentique (16, 35, 70mm...)",,Stéphanie Jaunay,s.jaunay@theatre-national-bretagne.fr
Resteria (Le),"2 bis, rue JM de la Mennais - 35240 Retiers",1,335711,169,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Ciné-Velay,Centre Socio-Culturel - 8 place Félix Tempère - 43700 Blavozy,1,335751,100,3D35mmNumérique,Numérique 2D,Jean-Paul Preynat,cine.velay@gmail.com,
Ciné-Velay,Centre Socio-Culturel - 8 place Félix Tempère - 43700 Blavozy,2,,,3D35mmNumérique,,Jean-Paul Preynat,cine.velay@gmail.com,
Ciné-Velay,Centre Socio-Culturel - 8 place Félix Tempère - 43700 Blavozy,3,,,Numérique,,Jean-Paul Preynat,cine.velay@gmail.com,
Ciné-Velay,Centre Socio-Culturel - 8 place Félix Tempère - 43700 Blavozy,4,,,Numérique,,Jean-Paul Preynat,cine.velay@gmail.com,
Castillet (Le),"1, bd Wilson - 66000 Perpignan",1,307502,151,3D35mmNumérique,Numérique 2D,Jonathan Isabelle,j.isabelle@cine-movida.com,
Castillet (Le),"1, bd Wilson - 66000 Perpignan",2,307503,76,3DNumérique,Numérique 2D,Jonathan Isabelle,j.isabelle@cine-movida.com,
Castillet (Le),"1, bd Wilson - 66000 Perpignan",3,307504,55,3D35mmNumérique,Numérique 2D,Jonathan Isabelle,j.isabelle@cine-movida.com,
Castillet (Le),"1, bd Wilson - 66000 Perpignan",4,307505,88,35mmNumérique,Numérique 2D,Jonathan Isabelle,j.isabelle@cine-movida.com,
Castillet (Le),"1, bd Wilson - 66000 Perpignan",5,307506,47,35mmNumérique,Numérique 2D,Jonathan Isabelle,j.isabelle@cine-movida.com,
Castillet (Le),"1, bd Wilson - 66000 Perpignan",6,307523,53,35mmNumérique,Numérique 2D,Jonathan Isabelle,j.isabelle@cine-movida.com,
Castillet (Le),"1, bd Wilson - 66000 Perpignan",7,307524,156,35mmNumérique,Numérique 2D,Jonathan Isabelle,j.isabelle@cine-movida.com,
Ciné Get,"38, rue Georges Sabo - 31250 Revel",1,336023,193,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Richelieu (Le),"18, rue du Général de Gaulle - 50760 Réville",1,336191,183,35mmNumérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
Richelieu (Le),"18, rue du Général de Gaulle - 50760 Réville",2,336192,102,35mmNumérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
Cinéma Saint-Paul,"38, rue Julien Douillard - 44400 Rezé",1,336432,425,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Salle de Cinéma et de Spectacle,Route du Foirail - 12240 Rieupeyroux,1,337353,239,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Ciné Rillieux,81 bis Avenue de l'Europe - 69140 Rillieux-la-Pape,1,337784,290,35mmNumérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Ciné Rillieux,81 bis Avenue de l'Europe - 69140 Rillieux-la-Pape,2,337785,180,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Ciné Rillieux,81 bis Avenue de l'Europe - 69140 Rillieux-la-Pape,3,337786,120,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Cinéma Z,Le Bosquet - 40370 Rion-des-Landes,1,338172,64,3D35mmNumérique,Numérique 2D,Maïko Gascouat,maiko@cinepassionlandes.com,
Quai des arts,Place de la gare - 15400 Riom-ès-Montagnes,1,338212,184,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Cinoches (Les),"3, Allée Jean Ferrat - 91130 Ris-Orangis",1,338332,82,3DNumérique,Numérique 2D,Renaud Clargé,micromegasclarge@yahoo.fr,
Cinoches (Les),"3, Allée Jean Ferrat - 91130 Ris-Orangis",2,338334,118,3D35mmNumérique,Numérique 2D,Renaud Clargé,micromegasclarge@yahoo.fr,
Cinoches (Les),"3, Allée Jean Ferrat - 91130 Ris-Orangis",3,338333,506,35mmNumérique,Numérique 2D,Renaud Clargé,micromegasclarge@yahoo.fr,
Cinoches (Les),"3, Allée Jean Ferrat - 91130 Ris-Orangis",4,338335,291,3D35mmNumérique,Numérique 2D,Renaud Clargé,micromegasclarge@yahoo.fr,
Cinéma de la Forêt Blanche,Station de Risoul 1850 - 05600 Risoul,1,338342,205,3DNumérique,Numérique 2D,Thierry Blanchard,cineprofilms@gmail.com,
Cinéma de la Forêt Blanche,Station de Risoul 1850 - 05600 Risoul,2,338343,103,3DNumérique,Numérique 2D,Thierry Blanchard,cineprofilms@gmail.com,
Ciné Chaplin,"31, rue Jules Guesde - 42800 Rive-de-Gier",1,338461,291,3D35mmNumérique,Numérique 2D,Mélody BESSET,mbesset@ville-rivedegier.fr,
Ciné Chaplin,"31, rue Jules Guesde - 42800 Rive-de-Gier",2,338463,93,3DNumérique,Numérique 2D,Mélody BESSET,mbesset@ville-rivedegier.fr,
Ciné-Relais la Passerelle,Allée du chemin Vert - 68170 Rixheim,1,338902,224,35mmNumérique,Numérique 2D,Clément REGNACQ,programmation@lerecit.fr,
Espace Renoir,"12 bis, rue Jean Puy - 42300 Roanne",1,338953,300,35mmNumérique,Numérique 2D,Jonathan GIPOULOU,direction.espacerenoir@gmail.com,
Espace Renoir,"12 bis, rue Jean Puy - 42300 Roanne",2,338965,129,35mmNumérique,Numérique 2D,Jonathan GIPOULOU,direction.espacerenoir@gmail.com,
Parc (Le) - MJC,"287, rue Jean Jaurès - 74800 La Roche-sur-Foron",1,339254,199,3D35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Couronne (La),"12, bd de Bretagne - 56130 Nivillac",1,339311,208,3DNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Couronne (La),"12, bd de Bretagne - 56130 Nivillac",2,339312,52,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Halle aux Grains (La),"1, rue des Tonneurs - 16110 La Rochefoucauld",1,339713,130,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Conti (Le),Place du Patis - 95290 L'Isle-Adam,1,201522,188,3DNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Conti (Le),Place du Patis - 95290 L'Isle-Adam,2,201523,63,Numérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Conti (Le),Place du Patis - 95290 L'Isle-Adam,3,201524,192,3DNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Conti (Le),Place du Patis - 95290 L'Isle-Adam,4,201525,250,Numérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Conti (Le),Place du Patis - 95290 L'Isle-Adam,5,201526,124,3DNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Kerlouet (Le),"14, bd Victor Hugo - 86270 La Roche-Posay",1,340043,233,Numérique,Numérique 2D,Marie-Christine Desandré,mcdesandre@gmail.com,
Salle du Château,16560 Coulgens - Téléphone: 06 11 41 20 44,1,340411,50,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Salle du Château,16560 Coulgens - Téléphone: 06 11 41 20 44,2,,,35mmNumérique,,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Salle du Château,16560 Coulgens - Téléphone: 06 11 41 20 44,3,,,Numérique,,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Salle du Château,16560 Coulgens - Téléphone: 06 11 41 20 44,4,,,35mmNumérique,,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Grange (La),Ferme Ayau avenue Maurice de Wlaminck - 77680 Roissy-en-Brie,1,341321,192,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Ciné Vendôme - Ronsard,"2, rue Darreau - 41100 Vendôme",1,446494,396,35mmNumérique,Numérique 2D,Virginie Henniquaux,vhenniquaux@majestic-cinemas.com,
Ciné Vendôme - Ronsard,"2, rue Darreau - 41100 Vendôme",2,446497,90,3D35mmNumérique,Numérique 2D,Virginie Henniquaux,vhenniquaux@majestic-cinemas.com,
Ciné Vendôme - Ronsard,"2, rue Darreau - 41100 Vendôme",3,446495,197,Numérique,Numérique 2D,Virginie Henniquaux,vhenniquaux@majestic-cinemas.com,
Ciné Vendôme - Ronsard,"2, rue Darreau - 41100 Vendôme",4,446496,127,35mmNumérique,Numérique 2D,Virginie Henniquaux,vhenniquaux@majestic-cinemas.com,
Ciné Vendôme - Ronsard,"2, rue Darreau - 41100 Vendôme",5,446498,90,3D35mmNumérique,Numérique 2D,Virginie Henniquaux,vhenniquaux@majestic-cinemas.com,
Moulin (Le),"14, Av de la Gare - 31120 Roques",1,343010,230,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Tournée A.D.A.M.R - Cinéma de Pays,4 Z.A. du Moulin - 04220 Corbières-en-Provence,1,345421,112,3D35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Tournée A.D.A.M.R - Cinéma de Pays,4 Z.A. du Moulin - 04220 Corbières-en-Provence,2,,,3D35mmNumérique,,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Tournée A.D.A.M.R - Cinéma de Pays,4 Z.A. du Moulin - 04220 Corbières-en-Provence,3,,,35mmNumérique,,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Tournée A.D.A.M.R - Cinéma de Pays,4 Z.A. du Moulin - 04220 Corbières-en-Provence,4,,,35mmNumérique,,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Quinsonnets (Les),"127, rue des Ecoles - 39220 Les Rousses",1,345631,193,35mmNumérique,Numérique 2D,Claude Krawieck,lesquinsonnets@wanadoo.fr,
Quinsonnets (Les),"127, rue des Ecoles - 39220 Les Rousses",2,345632,98,3D35mmNumérique,Numérique 2D,Claude Krawieck,lesquinsonnets@wanadoo.fr,
Lumières de la ville (Les),"18, avenue Franklin Roosevelt - 74150 Rumilly",1 bleu,347732,274,Numérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Lumières de la ville (Les),"18, avenue Franklin Roosevelt - 74150 Rumilly",2 rouge,347733,153,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Lumières de la ville (Les),"18, avenue Franklin Roosevelt - 74150 Rumilly",3 orange,347734,89,Numérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
CINE7,3 place de la petite vitesse - 07120 Ruoms,1,702200,228,Numérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
CINE7,3 place de la petite vitesse - 07120 Ruoms,2,702201,71,Numérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
Centre Culturel Joël Le Theule,"16, rue Saint-Denis - 72300 Sablé-sur-Sarthe",1,348314,655,35mmNumérique,,Nicole Bedouet,nicole.bedouet@lentracte-sable.fr,
Estrade (L'),l'Estrade - 40630 Sabres,1,348442,103,35mmNumérique,Numérique 2D,Xabi Garat,ententesaintlouis@gmail.com,
Gallia,"67, ter cours National - 17100 Saintes",1,349492,422,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Gallia,"67, ter cours National - 17100 Saintes",2,349503,98,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Cinéville Concarneau,Rue de Colguen - 29900 Concarneau,1,118495,323,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Cinéville Concarneau,Rue de Colguen - 29900 Concarneau,2,118496,191,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Cinéville Concarneau,Rue de Colguen - 29900 Concarneau,3,118497,89,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Cinéville Concarneau,Rue de Colguen - 29900 Concarneau,4,118498,99,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Cinéville Concarneau,Rue de Colguen - 29900 Concarneau,5,118499,99,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Atlantic Ciné,Route de Royan - 17100 Saintes,1,349524,343,35mmNumérique,Numérique 2D,,Thibaut Martines,thibaut@cinewest.fr
Atlantic Ciné,Route de Royan - 17100 Saintes,2,349525,174,35mmNumérique,Numérique 2D,,Thibaut Martines,thibaut@cinewest.fr
Atlantic Ciné,Route de Royan - 17100 Saintes,3,349526,91,Numérique,Numérique 2D,,Thibaut Martines,thibaut@cinewest.fr
Atlantic Ciné,Route de Royan - 17100 Saintes,4,349527,79,35mmNumérique,Numérique 2D,,Thibaut Martines,thibaut@cinewest.fr
Atlantic Ciné,Route de Royan - 17100 Saintes,5,349528,69,35mmNumérique,Numérique 2D,,Thibaut Martines,thibaut@cinewest.fr
Atlantic Ciné,Route de Royan - 17100 Saintes,6,349529,128,35mmNumérique,Numérique 2D,,Thibaut Martines,thibaut@cinewest.fr
Atlantic Ciné,Route de Royan - 17100 Saintes,7,349530,143,35mmNumérique,Numérique 2D,,Thibaut Martines,thibaut@cinewest.fr
Atlantic Ciné,Route de Royan - 17100 Saintes,8,,,Numérique,,,Thibaut Martines,thibaut@cinewest.fr
Tomette (La),Quart Plantiers - 83690 Salernes,1,350023,172,35mmNumérique,Numérique 2D,Jean-Marie Borello,cine83@laligue83.org,
Saleys (Le),6 Rue du Maréchal Leclerc - 64270 Salies-de-Béarn,1,350169,125,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Saleys (Le),6 Rue du Maréchal Leclerc - 64270 Salies-de-Béarn,2,,69,Numérique,,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Abreuvoir (L'),Rue Breuil - 21580 Salives,1,350390,149,35mmNumérique,Numérique 2D,Résultats: Frédéric Desrues,"programmation@panoramicbourgogne.fr, communication@panoramicbourgogne.fr",
Abreuvoir (L'),Rue Breuil - 21580 Salives,2,,,35mmNumérique,,Résultats: Frédéric Desrues,"programmation@panoramicbourgogne.fr, communication@panoramicbourgogne.fr",
Criou (Le),Salle Le Criou - 74340 Samoëns,1,351441,304,3D35mmNumérique,Numérique 2D,Phillipe Baud,info@cinemonde.fr,
ABC,"9, av. du Général Gallieni - 83110 Sanary-sur-Mer",1,351621,234,3D35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Agora Ciné,Av. des Sports - 59211 Santes,1,352223,426,35mmNumérique,Numérique 2D,,"contact@cineligue-npdc.org, communication.culture@santes.fr",
Pathé Saran,"1010, rue Nationale - 45770 Saran",1,352610,402,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Saran,"1010, rue Nationale - 45770 Saran",2,352611,293,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Saran,"1010, rue Nationale - 45770 Saran",3,352612,235,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Saran,"1010, rue Nationale - 45770 Saran",4,352613,177,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Saran,"1010, rue Nationale - 45770 Saran",5,352614,188,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Saran,"1010, rue Nationale - 45770 Saran",6,352615,151,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Saran,"1010, rue Nationale - 45770 Saran",7,352616,151,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Saran,"1010, rue Nationale - 45770 Saran",8,352617,151,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Saran,"1010, rue Nationale - 45770 Saran",9,352618,151,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Saran,"1010, rue Nationale - 45770 Saran",10 IMAX,352619,400,NumériqueImax Laser,IMAX 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Centre Multimédia,Rue du Lion d'Or - 09700 Saverdun,1,355993,189,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Cubic (Le),"133, Grand'rue - 67700 Saverne",1,356024,292,3D35mmNumérique,Numérique 2D,Christian KLEIN,admin@cinecubic.fr,
Cubic (Le),"133, Grand'rue - 67700 Saverne",2,356025,120,3D35mmNumérique,Numérique 2D,Christian KLEIN,admin@cinecubic.fr,
Capitole Studio,Av. Saint-Tronquet - 84130 Le Pontet,1,721200,436,3D35mmNumérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Capitole Studio,Av. Saint-Tronquet - 84130 Le Pontet,2,721201,290,3D35mmNumérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Capitole Studio,Av. Saint-Tronquet - 84130 Le Pontet,3,721205,124,35mmNumérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Capitole Studio,Av. Saint-Tronquet - 84130 Le Pontet,4,721203,223,35mmNumérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Capitole Studio,Av. Saint-Tronquet - 84130 Le Pontet,5,721204,133,35mmNumérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Capitole Studio,Av. Saint-Tronquet - 84130 Le Pontet,6,,,Numérique,,Thibaut Martines,thibaut@cinewest.fr,
Capitole Studio,Av. Saint-Tronquet - 84130 Le Pontet,7,721206,223,3D35mmNumérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Capitole Studio,Av. Saint-Tronquet - 84130 Le Pontet,8,721207,130,3D35mmNumérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Capitole Studio,Av. Saint-Tronquet - 84130 Le Pontet,9,721208,290,3D35mmNumérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Capitole Studio,Av. Saint-Tronquet - 84130 Le Pontet,10,721209,124,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Capitole Studio,Av. Saint-Tronquet - 84130 Le Pontet,11,721210,133,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",1,231270,119,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",2,231271,306,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",3,231272,206,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",4,231273,120,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",5,231274,306,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",6,231275,410,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",7,231276,306,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",8,231280,306,35mmNumérique,"Numérique 2D, 4DX 2D",Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",9,231281,410,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",10,231282,306,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",11,231283,206,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",12,231284,206,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",13,231285,410,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",14,231295,613,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",15,231290,410,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",16,,,Numérique,,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",18,,410,Numérique,,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",19,231301,306,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Lomme,"1, rue du Château d'Isenghein - 59160 Lomme",20,231302,156,35mmNumérique4DX,4DX 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
